
Kokkos::Cuda::initialize WARNING: Cuda is allocating into UVMSpace by default
                                  without setting CUDA_LAUNCH_BLOCKING=1.
                                  The code must call Cuda().fence() after each kernel
                                  or will likely crash when accessing data on the host.
0.00432357 0.00675096 0.00157044 size   277000 88191.7 MUPD/s or  705.533 GB/s
0.00441416 0.00638729 0.00154774 size   281000 90777.3 MUPD/s or  726.218 GB/s
0.00445135 0.00687693 0.00160283 size   285000 88905.5 MUPD/s or  711.244 GB/s
0.00456173 0.00657988 0.00160645 size   289000 89950.1 MUPD/s or  719.601 GB/s
0.00460124 0.00694644 0.0016226 size   293000 90287 MUPD/s or  722.296 GB/s
0.00467124 0.00748108 0.00164797 size   297000 90110.7 MUPD/s or  720.886 GB/s
0.00472059 0.00742994 0.00165788 size   301000 90778.6 MUPD/s or  726.229 GB/s
0.00483543 0.00778198 0.00169063 size   305000 90202.8 MUPD/s or  721.623 GB/s
0.00488486 0.00773856 0.00172662 size   309000 89481.2 MUPD/s or  715.849 GB/s
0.0048963 0.00768931 0.00174788 size   313000 89537.1 MUPD/s or  716.297 GB/s
0.0049646 0.00782671 0.00175316 size   317000 90408.2 MUPD/s or  723.265 GB/s
0.00506201 0.00731866 0.00178756 size   321000 89787.1 MUPD/s or  718.297 GB/s
0.00513573 0.00798357 0.00194126 size   325000 83708.7 MUPD/s or   669.67 GB/s
0.0051427 0.00824839 0.00187714 size   329000 87633.2 MUPD/s or  701.066 GB/s
0.00521899 0.00835914 0.0018746 size   333000 88819 MUPD/s or  710.552 GB/s
0.00544012 0.00854536 0.00196193 size   337000 85884.6 MUPD/s or  687.077 GB/s
0.00539428 0.00840216 0.0018913 size   341000 90149.5 MUPD/s or  721.196 GB/s
0.00543216 0.00863633 0.00191041 size   345000 90294.8 MUPD/s or  722.359 GB/s
0.00555247 0.00843457 0.00192786 size   349000 90514.8 MUPD/s or  724.119 GB/s
0.00551768 0.00854321 0.00192825 size   353000 91533.6 MUPD/s or  732.269 GB/s
0.00557667 0.00873541 0.00195212 size   357000 91439.2 MUPD/s or  731.514 GB/s
0.00565133 0.00889452 0.0019939 size   361000 90526.2 MUPD/s or  724.209 GB/s
0.00572733 0.00850617 0.00201962 size   365000 90363.7 MUPD/s or   722.91 GB/s
0.00575976 0.00878332 0.00211488 size   369000 87239 MUPD/s or  697.912 GB/s
0.00577464 0.00876024 0.00208885 size   373000 89283.7 MUPD/s or   714.27 GB/s
0.00584715 0.00911093 0.00211976 size   377000 88925.1 MUPD/s or  711.401 GB/s
0.00595592 0.00963252 0.00209517 size   381000 90923.4 MUPD/s or  727.387 GB/s
0.00594392 0.00919095 0.00220452 size   385000 87320.5 MUPD/s or  698.564 GB/s
0.00602745 0.0091648 0.00215831 size   389000 90117 MUPD/s or  720.936 GB/s
0.00609706 0.00926122 0.00217022 size   393000 90543.8 MUPD/s or   724.35 GB/s
0.00611827 0.00928783 0.00217996 size   397000 91056.5 MUPD/s or  728.452 GB/s
0.00618212 0.00928991 0.00221743 size   401000 90419.8 MUPD/s or  723.358 GB/s
0.00618503 0.0093349 0.00222862 size   405000 90863.3 MUPD/s or  726.906 GB/s
